tender_id,card_id,status,mismatches,name_score,customer_score,info_corr,analysis_score,price_dash,price_api,card_id_match,reg_num_match,has_card,dash_name,api_name,dash_customer,api_customer,tenderguru_link
"rq_0848200000525000249","89816879","ok","","1","1","1","0","","","true","","true","Запрос цены. Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта в целях реализа","Запрос цены. Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта в целях реализа","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","https://www.tenderguru.ru/tender/89816879"
"0848200000525000063","89810274","ok","","1","1","1","0.048","45000000","45000000","true","true","true","Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта для внедрения технологии иск","Поставка высокопроизводительной вычислительной платформы с использованием ускорителей искусственного интеллекта для внедрения технологии иск","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","Государственное казенное учреждение Московской области ""Московский областной центр информационно-ком","https://www.tenderguru.ru/tender/89810274"
"rq_0361200014925000039","89752715","ok","","1","1","1","0.006","","","true","","true","Запрос цены. Оказание услуг по технической поддержке и сопровождению Сервиса поддержки принятия врачебных решений с применением технологий и","Запрос цены. Оказание услуг по технической поддержке и сопровождению Сервиса поддержки принятия врачебных решений с применением технологий и","Государственное бюджетное учреждение здравоохранения ""Сахалинский областной медицинский информационн","Государственное бюджетное учреждение здравоохранения ""Сахалинский областной медицинский информационн","https://www.tenderguru.ru/tender/89752715"
"89775532","89775532","ok","","1","1","1","0.026","","","true","","true","Серверное оборудование по проектам Фонда АНРТ","Серверное оборудование по проектам Фонда АНРТ","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""УНИВЕРСИТЕТ ИННОПОЛИС""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ ""УНИВЕРСИТЕТ ИННОПОЛИС""","https://www.tenderguru.ru/tender/89775532"
"rq_0174200002525000181","89751807","ok","","1","1","1","0.16","","","true","","true","Запрос цены. Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по","Запрос цены. Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по","ГУИС Севастополя","ГУИС Севастополя","https://www.tenderguru.ru/tender/89751807"
"0362400002225000335","89733546","ok","","1","","1","0","2200000","2200000","true","true","true","Оказание услуг по передаче прав на условиях простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки приня","Оказание услуг по передаче прав на условиях простой (неисключительной) лицензии и внедрению программного обеспечения системы поддержки приня","","","https://www.tenderguru.ru/tender/89733546"
"rq_0174200002525000178","89716683","ok","","1","1","1","0.157","","","true","","true","Запрос цены. Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по","Запрос цены. Оказание услуг по предоставлению простой (неисключительной) лицензий на программное обеспечение, содержащее результаты работ по","ГУИС Севастополя","ГУИС Севастополя","https://www.tenderguru.ru/tender/89716683"
"0358100006225000527","89703889","ok","","1","1","1","0.064","1900000","1900000","true","true","true","Передача на условиях простой (неисключительной) лицензии прав пользования программным обеспечением системы поддержки принятия врачебных реше","Передача на условиях простой (неисключительной) лицензии прав пользования программным обеспечением системы поддержки принятия врачебных реше","""Клиническая больница №2 Федерального государственного учреждения ""Южный окружной медицинский центр ","""Клиническая больница №2 Федерального государственного учреждения ""Южный окружной медицинский центр ","https://www.tenderguru.ru/tender/89703889"
"rq_0318200028125001601","89651120","ok","","1","1","1","0","","","true","","true","Запрос цены. Организация омниканального контактного центра по приему и обработке голосовых и неголосовых обращений с использованием голосовы","Запрос цены. Организация омниканального контактного центра по приему и обработке голосовых и неголосовых обращений с использованием голосовы","государственное бюджетное учреждение здравоохранения ""Детская краевая клиническая больница"" департам","государственное бюджетное учреждение здравоохранения ""Детская краевая клиническая больница"" департам","https://www.tenderguru.ru/tender/89651120"
"rq_0318200073525000048","89651212","ok","","1","1","1","0.012","","","true","","true","Запрос цены. Оказание услуг по сопровождению системы поддержки принятия врачебных решений с применением технологий искусственного интеллекта","Запрос цены. Оказание услуг по сопровождению системы поддержки принятия врачебных решений с применением технологий искусственного интеллекта","государственное бюджетное учреждение здравоохранения ""Медицинский информационно-аналитический центр""","государственное бюджетное учреждение здравоохранения ""Медицинский информационно-аналитический центр""","https://www.tenderguru.ru/tender/89651212"
