tender_num,tender_name,customer,price_rub,fz,is_tz,doc_name,doc_url,doc_size,docs_url
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 4. А. Требования к содержанию и составу заявки","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=B5A7C0BD46054216B0ECBD4DF61307EA","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 2 Проект контракта модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A09C1671AE4D42378990126B607B3083","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","yes","Приложение № 3 Описание объекта закупки модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A30818EEB9174C339AF83BD18D871616","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Приложение № 1 Обоснование НМЦК модуль МЭДО расширенный","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=B14DD087B7CE4296BCF8EB95E0A4378E","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0154200000726000384","Оказание услуг по передаче неисключительных (пользовательских) прав на программное обеспечение «Модуль взаимодействия с МЭДО. Расширенный» для системы автоматизации делопроизводства и электронного документооборота в органах исполнительной власти Орловской области","ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ","2782500.00","44-ФЗ Электронный аукцион","no","Электронный документ, полученный из внешней системы","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=FDBA73FC94144900BA85EA3108D9E807","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0154200000726000384"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Обоснование начальной (максимальной) цены контракта","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=370EC3E39AB44F3E999A0C3C7E5DAC5F","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Проект контракта","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=6B27D624727C4310BFE47A889BD59AB6","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","yes","Описание объекта закупки","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=5F8904A4360E4BC99A4172E387C43015","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Требование к содержанию, составу заявки на участие в закупке","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=A846353A7A0A4CC7843000D5076B7BB6","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Дополнительная информация и документы","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=4C03FDE4ACD94C43A6407E88982C0D94","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Дополнительная информация и документы","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=88BE6D8358D44603ACBA25588F909B7F","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Уведомление о прохождении контроля","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=D9B9B40EDFB34FAC979EB9F2340E376C","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
"0172200006726000028","Оказание услуг по миграции эксплуатируемой базы данных автоматизированной системы электронного документооборота Контрольно-счетной палаты Санкт-Петербурга на программной платформе ""Дело"" на отечественную платформу на базе СУБД Postgres Pro и ОС ""РЕД ОС""","КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА САНКТ-ПЕТЕРБУРГА","1066800.00","44-ФЗ Электронный аукцион","no","Электронный документ, полученный из внешней системы","https://zakupki.gov.ru/44fz/filestore/public/1.0/download/priz/file.html?uid=915D76B3D270418391092BDA3CCC5529","","https://zakupki.gov.ru/epz/order/notice/ea20/view/documents.html?regNumber=0172200006726000028"
