tender_id,date,name,customer,category,region,price_rub,price_M,end_time,fz,groups,queries,sources,link
"84238639","25-05-2026","2026-03573/ Выполнение подрядных работ для государственных нужд по капитальному ремонту объекта капитального строительства: «Капитальный ремонт БУЗ ВО «Воронежская городская клиническая больница скорой медицинской помощи №10» по адресу: г. Воронеж, ул. Минская, д.43» (инженерные сети)","МИНИСТЕРСТВО ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОРОНЕЖСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Воронежская область","36663176","36.7","04-06-2026","","smeta_profession","""сметчик""","documentation","https://www.tenderguru.ru/tender/84238639"
"204550000012600195","16-05-2026","Электронный аукцион на оказание услуг или выполнение работ по капитальному ремонту общего имущества в многоквартирном доме","НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ФОНД КАПИТАЛЬНОГО РЕМОНТА МНОГОКВАРТИРНЫХ ДОМОВ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""","Строительство","Ленинградская область","36460482","36.5","25-05-2026","223","psd","""проектно-сметная документация""","search","https://www.tenderguru.ru/tender/94353801"
"83696385","10-05-2026","Ремонт улиц Андреевщина и Водский Конец в д. Пахомовка","АДМИНИСТРАЦИЯ ВИСТИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КИНГИСЕППСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ЛЕНИНГРАДСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Ленинградская область","36318690","36.3","28-05-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/83696385"
"84235849","22-05-2026","Выполнение работ по проектированию объекта: «Создание обеспечивающей инфраструктуры многофункционального туристско-рекреационного парка «Дегуакская поляна», в том числе инженерные изыскания, архитектурно-строительное проектирование, проведение государственной экспертизы и получение разрешительной документации, строительство объектов инфраструктуры и подключение (технологическое присоединение) к инженерным сетям».","КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК","Системная интеграция, оргтехника","Адыгея","35062168","35.1","11-06-2026","","smeta_control","""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/84235849"
"84235850","22-05-2026","Выполнение работ по проектированию объекта: «Создание обеспечивающей инфраструктуры многофункционального туристско-рекреационного парка «Дегуакская поляна», в том числе инженерные изыскания, архитектурно-строительное проектирование, проведение государственной экспертизы и получение разрешительной документации, строительство объектов инфраструктуры и подключение (технологическое присоединение) к инженерным сетям».","КОМИТЕТ РЕСПУБЛИКИ АДЫГЕЯ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК","Системная интеграция, оргтехника","Адыгея","35062168","35.1","11-06-2026","","smeta_control","""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/84235850"
"84098055","21-05-2026","Выполнение работ по монтажу и модернизации систем видеонаблюдения на объектах АО «ТЭК СПб»","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""","Системная интеграция, оргтехника","Санкт-Петербург","34160000","34.2","08-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84098055"
"84183678","21-05-2026","Выполнение работ по монтажу и модернизации систем видеонаблюдения на объектах АО «ТЭК СПб»","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАКАЗЧИКА ПО СТРОИТЕЛЬСТВУ И КАПИТАЛЬНОМУ РЕМОНТУ ОБЪЕКТОВ ИНЖЕНЕРНО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""","Системная интеграция, оргтехника","Санкт-Петербург","34160000","34.2","08-06-2026","","smeta_control","""проверка смет""","documentation","https://www.tenderguru.ru/tender/84183678"
"84135799","21-05-2026","Выполнение работ по строительству, проектированию и вводу в эксплуатацию объекта: ""Здание фельдшерско-акушерского пункта в п. Новоозерный Государственного бюджетного учреждения здравоохранения Новосибирской области ""Новосибирская районная больница №2""","МИНИСТЕРСТВО СТРОИТЕЛЬСТВА НОВОСИБИРСКОЙ ОБЛАСТИ","Системная интеграция, оргтехника","Новосибирская область","33157634","33.2","02-06-2026","","smeta_software; smeta_control","""сметная программа""; ""экспертиза сметной стоимости""","documentation","https://www.tenderguru.ru/tender/84135799"
"84223311","22-05-2026","Запросы цен по результатам предварительного отбора № 26-6025 на право заключения договора на проектирование и строительство ЛЭП 10/0,4 кВ и ТП 10/0,4 кВ в рамках исполнения договоров технологического присоединения заявителей в ПО ЮЭС Лот №146 для нужд филиала ПАО «Россети Сибирь» - «Кузбассэнерго-РЭС»","ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССЕТИ СИБИРЬ""","Системная интеграция, оргтехника","Красноярский край","32618389","32.6","29-05-2026","","smeta_software; psd","""сметная программа""; ""разработка ПСД""","documentation","https://www.tenderguru.ru/tender/84223311"
"204550000012600193","15-05-2026","Электронный аукцион на оказание услуг или выполнение работ по капитальному ремонту общего имущества в многоквартирном доме","НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ФОНД КАПИТАЛЬНОГО РЕМОНТА МНОГОКВАРТИРНЫХ ДОМОВ ЛЕНИНГРАДСКОЙ ОБЛАСТИ""","Строительство","Ленинградская область","32346842","32.3","25-05-2026","223","psd","""проектно-сметная документация""","search","https://www.tenderguru.ru/tender/94323599"
"32615917268","17-04-2026","Капитальный ремонт фасада и кровли здания учебного корпуса краевого государственного автономного профессионального образовательного учреждения «Красноярский техникум транспорта и сервиса», расположенного по адресу: 660122, г. Красноярск, ул.60 лет Октября, д.161","КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ ПРОФЕССИОНАЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""КРАСНОЯРСКИЙ ТЕХНИКУМ ТРАНСПОРТА И СЕРВИСА""","Строительство","Красноярский край","31933089","31.9","04-05-2026","223","smeta_normative","""ГЭСН""","search","https://www.tenderguru.ru/tender/93700294"
"84239044","25-05-2026","Выполнение капитального ремонта систем автоматической пожарной сигнализации, системы оповещения и управления эвакуацией и системы управления установками дымоудаления здания АУ ""Чувашский государственный театр оперы и балета"" Минкультуры Чувашии, расположенного по адресу: Чувашская Республика, г. Чебоксары, Московский проспект, д.1","КАЗЕННОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК ЧУВАШСКОЙ РЕСПУБЛИКИ""","Системная интеграция, оргтехника","Чувашия","31426551","31.4","03-06-2026","","smeta_control","""проверка сметной""","documentation","https://www.tenderguru.ru/tender/84239044"
"84237241","25-05-2026","Выполнение работ по текущему ремонту Родильного дома №3, расположенного по адресу: пр. Авиаторов, 88: монтаж системы автоматической пожарной сигнализации, системы оповещения и управления эвакуацией, аварийного освещения, эвакуационного освещения","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОВОКУЗНЕЦКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМЕНИ Г.П. КУРБАТОВА""","Системная интеграция, оргтехника","Кемеровская область","30990526","31.0","10-06-2026","","smeta_software; smeta_normative","""Гранд-Смета""; ""Гранд Смета""; ""ценообразование в строительстве""","documentation","https://www.tenderguru.ru/tender/84237241"
"84237240","25-05-2026","Выполнение работ по текущему ремонту Родильного дома №3, расположенного по адресу: пр. Авиаторов, 88: монтаж системы автоматической пожарной сигнализации, системы оповещения и управления эвакуацией, аварийного освещения, эвакуационного освещения","ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""НОВОКУЗНЕЦКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМЕНИ Г.П. КУРБАТОВА""","Системная интеграция, оргтехника","Кемеровская область","30990526","31.0","10-06-2026","","smeta_normative; psd","""ценообразование в строительстве""; ""проектно-сметная документация""","documentation","https://www.tenderguru.ru/tender/84237240"
"0158300016526000006","31-03-2026","Выполнение работ по благоустройству территории по адресу: Ростовская область, Аксайский район, х. Ленина, между улицей Пионерская, переулком Юбилейный, улицей Онучкина, 22","Администрация Ленинского сельского поселения","Строительство","Ростовская область","29209109","29.2","07-04-2026","44","smeta_control","""экспертиза сметной стоимости""","search","https://www.tenderguru.ru/tender/93258048"
